T, [([], '1'), ('A', '1')],0,1
A', [([], '1'), ('A', '0')],1,1
B', [([], '1'), ('B', '0')],1,1
C', [([], '1'), ('C', '0')],1,1
D', [([], '1'), ('D', '0')],1,1
A, [([], '0'), ('A', '1')],1,1
F, [([], '0'), ('A', '0')],0,1
B, [([], '0'), ('B', '1')],1,1
C, [([], '0'), ('C', '1')],1,1
D, [([], '0'), ('D', '1')],1,1
A'B', [([], '1'), ('A', '0'), ('B', '0')],2,2
A'C', [([], '1'), ('A', '0'), ('C', '0')],2,2
A'D', [([], '1'), ('A', '0'), ('D', '0')],2,2
B'C', [([], '1'), ('B', '0'), ('C', '0')],2,2
B'D', [([], '1'), ('B', '0'), ('D', '0')],2,2
C'D', [([], '1'), ('C', '0'), ('D', '0')],2,2
A+B, [([], '0'), ('A', '1'), ('B', '1')],2,2
A+C, [([], '0'), ('A', '1'), ('C', '1')],2,2
A+D, [([], '0'), ('A', '1'), ('D', '1')],2,2
B+C, [([], '0'), ('B', '1'), ('C', '1')],2,2
B+D, [([], '0'), ('B', '1'), ('D', '1')],2,2
C+D, [([], '0'), ('C', '1'), ('D', '1')],2,2
A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0')],3,3
A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0')],3,3
A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0')],3,3
B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0')],3,3
A+B+C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1')],3,3
A+B+D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1')],3,3
A+C+D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1')],3,3
B+C+D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1')],3,3
A'+B, [([], '1'), ('A', '0'), (('A', 'B'), '1')],2,3
A'+C, [([], '1'), ('A', '0'), (('A', 'C'), '1')],2,3
A'+D, [([], '1'), ('A', '0'), (('A', 'D'), '1')],2,3
A+B', [([], '1'), ('B', '0'), (('A', 'B'), '1')],2,3
B'+C, [([], '1'), ('B', '0'), (('B', 'C'), '1')],2,3
B'+D, [([], '1'), ('B', '0'), (('B', 'D'), '1')],2,3
A+C', [([], '1'), ('C', '0'), (('A', 'C'), '1')],2,3
B+C', [([], '1'), ('C', '0'), (('B', 'C'), '1')],2,3
C'+D, [([], '1'), ('C', '0'), (('C', 'D'), '1')],2,3
A+D', [([], '1'), ('D', '0'), (('A', 'D'), '1')],2,3
B+D', [([], '1'), ('D', '0'), (('B', 'D'), '1')],2,3
C+D', [([], '1'), ('D', '0'), (('C', 'D'), '1')],2,3
AB', [([], '0'), ('A', '1'), (('A', 'B'), '0')],2,3
AC', [([], '0'), ('A', '1'), (('A', 'C'), '0')],2,3
AD', [([], '0'), ('A', '1'), (('A', 'D'), '0')],2,3
A'B, [([], '0'), ('B', '1'), (('A', 'B'), '0')],2,3
BC', [([], '0'), ('B', '1'), (('B', 'C'), '0')],2,3
BD', [([], '0'), ('B', '1'), (('B', 'D'), '0')],2,3
A'C, [([], '0'), ('C', '1'), (('A', 'C'), '0')],2,3
B'C, [([], '0'), ('C', '1'), (('B', 'C'), '0')],2,3
CD', [([], '0'), ('C', '1'), (('C', 'D'), '0')],2,3
A'D, [([], '0'), ('D', '1'), (('A', 'D'), '0')],2,3
B'D, [([], '0'), ('D', '1'), (('B', 'D'), '0')],2,3
C'D, [([], '0'), ('D', '1'), (('C', 'D'), '0')],2,3
A'B'C'D', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('D', '0')],4,4
A+B+C+D, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('D', '1')],4,4
A'+B', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0')],2,4
B+A'C, [([], '0'), ('B', '1'), ('C', '1'), (('A', 'C'), '0')],3,4
BC'+B'C, [([], '0'), ('B', '1'), ('C', '1'), (('B', 'C'), '0')],4,4
C+BD', [([], '0'), ('B', '1'), ('C', '1'), (('B', 'D'), '0')],3,4
B+CD', [([], '0'), ('B', '1'), ('C', '1'), (('C', 'D'), '0')],3,4
D+A'B, [([], '0'), ('B', '1'), ('D', '1'), (('A', 'B'), '0')],3,4
B+A'D, [([], '0'), ('B', '1'), ('D', '1'), (('A', 'D'), '0')],3,4
D+BC', [([], '0'), ('B', '1'), ('D', '1'), (('B', 'C'), '0')],3,4
BD'+B'D, [([], '0'), ('B', '1'), ('D', '1'), (('B', 'D'), '0')],4,4
B+C'D, [([], '0'), ('B', '1'), ('D', '1'), (('C', 'D'), '0')],3,4
BC, [([], '0'), ('B', '0'), ('C', '0'), (('B', 'C'), '1')],2,4
BD, [([], '0'), ('B', '0'), ('D', '0'), (('B', 'D'), '1')],2,4
D+A'C, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'C'), '0')],3,4
C+A'D, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'D'), '0')],3,4
D+B'C, [([], '0'), ('C', '1'), ('D', '1'), (('B', 'C'), '0')],3,4
C+B'D, [([], '0'), ('C', '1'), ('D', '1'), (('B', 'D'), '0')],3,4
CD'+C'D, [([], '0'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],4,4
CD, [([], '0'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],2,4
AB'+A'C', [([], '1'), ('A', '1'), ('B', '1'), ('C', '0'), (('A', 'B'), '0')],4,5
AB'+A'D', [([], '1'), ('A', '1'), ('B', '1'), ('D', '0'), (('A', 'B'), '0')],4,5
A'B'+AC', [([], '1'), ('A', '1'), ('B', '0'), ('C', '1'), (('A', 'C'), '0')],4,5
A'B'+AD', [([], '1'), ('A', '1'), ('B', '0'), ('D', '1'), (('A', 'D'), '0')],4,5
AC'+A'D', [([], '1'), ('A', '1'), ('C', '1'), ('D', '0'), (('A', 'C'), '0')],4,5
A'C'+AD', [([], '1'), ('A', '1'), ('C', '0'), ('D', '1'), (('A', 'D'), '0')],4,5
A'B'+A'C', [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), (('B', 'C'), '0')],4,5
A'B'+A'D', [([], '1'), ('A', '0'), ('B', '1'), ('D', '1'), (('B', 'D'), '0')],4,5
AB+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), (('A', 'B'), '1')],5,5
AC+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), (('A', 'C'), '1')],5,5
D+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), (('A', 'D'), '1')],4,5
BC+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), (('B', 'C'), '1')],5,5
AB+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), (('A', 'B'), '1')],5,5
C+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), (('A', 'C'), '1')],4,5
AD+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), (('A', 'D'), '1')],5,5
BD+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), (('B', 'D'), '1')],5,5
A'C'+A'D', [([], '1'), ('A', '0'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],4,5
B+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('A', 'B'), '1')],4,5
AC+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('A', 'C'), '1')],5,5
AD+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('A', 'D'), '1')],5,5
CD+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],5,5
BC'+B'D', [([], '1'), ('B', '1'), ('C', '1'), ('D', '0'), (('B', 'C'), '0')],4,5
B'C'+BD', [([], '1'), ('B', '1'), ('C', '0'), ('D', '1'), (('B', 'D'), '0')],4,5
B'C'+B'D', [([], '1'), ('B', '0'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],4,5
A+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('A', 'B'), '1')],4,5
BC+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('B', 'C'), '1')],5,5
BD+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('B', 'D'), '1')],5,5
CD+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],5,5
C+AB'+A'B, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('A', 'B'), '0')],5,5
B+AC'+A'C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('A', 'C'), '0')],5,5
B+C+AD', [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('A', 'D'), '0')],4,5
A+BC'+B'C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('B', 'C'), '0')],5,5
A+C+BD', [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('B', 'D'), '0')],4,5
A+B+CD', [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('C', 'D'), '0')],4,5
D+AB'+A'B, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('A', 'B'), '0')],5,5
B+D+AC', [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('A', 'C'), '0')],4,5
B+AD'+A'D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('A', 'D'), '0')],5,5
A+D+BC', [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('B', 'C'), '0')],4,5
A+BD'+B'D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('B', 'D'), '0')],5,5
A+B+C'D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('C', 'D'), '0')],4,5
A+BC, [([], '0'), ('A', '1'), ('B', '0'), ('C', '0'), (('B', 'C'), '1')],3,5
A+BD, [([], '0'), ('A', '1'), ('B', '0'), ('D', '0'), (('B', 'D'), '1')],3,5
C+D+AB', [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'B'), '0')],4,5
D+AC'+A'C, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'C'), '0')],5,5
C+AD'+A'D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'D'), '0')],5,5
A+D+B'C, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('B', 'C'), '0')],4,5
A+C+B'D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('B', 'D'), '0')],4,5
A+CD'+C'D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],5,5
A+CD, [([], '0'), ('A', '1'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],3,5
B+AC, [([], '0'), ('A', '0'), ('B', '1'), ('C', '0'), (('A', 'C'), '1')],3,5
B+AD, [([], '0'), ('A', '0'), ('B', '1'), ('D', '0'), (('A', 'D'), '1')],3,5
C+AB, [([], '0'), ('A', '0'), ('B', '0'), ('C', '1'), (('A', 'B'), '1')],3,5
D+AB, [([], '0'), ('A', '0'), ('B', '0'), ('D', '1'), (('A', 'B'), '1')],3,5
C+AD, [([], '0'), ('A', '0'), ('C', '1'), ('D', '0'), (('A', 'D'), '1')],3,5
D+AC, [([], '0'), ('A', '0'), ('C', '0'), ('D', '1'), (('A', 'C'), '1')],3,5
C+D+A'B, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('A', 'B'), '0')],4,5
B+D+A'C, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('A', 'C'), '0')],4,5
B+C+A'D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('A', 'D'), '0')],4,5
D+BC'+B'C, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('B', 'C'), '0')],5,5
C+BD'+B'D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('B', 'D'), '0')],5,5
B+CD'+C'D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],5,5
B+CD, [([], '0'), ('B', '1'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],3,5
C+BD, [([], '0'), ('B', '0'), ('C', '1'), ('D', '0'), (('B', 'D'), '1')],3,5
D+BC, [([], '0'), ('B', '0'), ('C', '0'), ('D', '1'), (('B', 'C'), '1')],3,5
AB'+A'C, [([], '0'), ('A', '1'), ('C', '1'), (('A', 'B', 'C'), '0')],4,5
AB'+A'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'B', 'D'), '0')],4,5
AC'+A'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'C', 'D'), '0')],4,5
A'B+A'C, [([], '0'), ('B', '1'), ('C', '1'), (('A', 'B', 'C'), '0')],4,5
A'B+A'D, [([], '0'), ('B', '1'), ('D', '1'), (('A', 'B', 'D'), '0')],4,5
BC'+B'D, [([], '0'), ('B', '1'), ('D', '1'), (('B', 'C', 'D'), '0')],4,5
A'C+A'D, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'C', 'D'), '0')],4,5
B'C+B'D, [([], '0'), ('C', '1'), ('D', '1'), (('B', 'C', 'D'), '0')],4,5
A'+B+C, [([], '1'), ('A', '0'), (('A', 'B'), '1'), (('A', 'C'), '1')],3,5
A'+B+D, [([], '1'), ('A', '0'), (('A', 'B'), '1'), (('A', 'D'), '1')],3,5
A'+C+D, [([], '1'), ('A', '0'), (('A', 'C'), '1'), (('A', 'D'), '1')],3,5
A'B'+AC, [([], '1'), ('A', '0'), (('A', 'C'), '1'), (('B', 'C'), '0')],4,5
A'B'+AD, [([], '1'), ('A', '0'), (('A', 'D'), '1'), (('B', 'D'), '0')],4,5
A'C'+AD, [([], '1'), ('A', '0'), (('A', 'D'), '1'), (('C', 'D'), '0')],4,5
A+B'+C, [([], '1'), ('B', '0'), (('A', 'B'), '1'), (('B', 'C'), '1')],3,5
A+B'+D, [([], '1'), ('B', '0'), (('A', 'B'), '1'), (('B', 'D'), '1')],3,5
A'B'+A'C, [([], '1'), ('B', '0'), (('A', 'C'), '0'), (('B', 'C'), '1')],4,5
A'B'+A'D, [([], '1'), ('B', '0'), (('A', 'D'), '0'), (('B', 'D'), '1')],4,5
B'+C+D, [([], '1'), ('B', '0'), (('B', 'C'), '1'), (('B', 'D'), '1')],3,5
B'C'+BD, [([], '1'), ('B', '0'), (('B', 'D'), '1'), (('C', 'D'), '0')],4,5
A'B+A'C', [([], '1'), ('C', '0'), (('A', 'B'), '0'), (('B', 'C'), '1')],4,5
A+B+C', [([], '1'), ('C', '0'), (('A', 'C'), '1'), (('B', 'C'), '1')],3,5
A+C'+D, [([], '1'), ('C', '0'), (('A', 'C'), '1'), (('C', 'D'), '1')],3,5
A'C'+A'D, [([], '1'), ('C', '0'), (('A', 'D'), '0'), (('C', 'D'), '1')],4,5
B+C'+D, [([], '1'), ('C', '0'), (('B', 'C'), '1'), (('C', 'D'), '1')],3,5
B'C'+B'D, [([], '1'), ('C', '0'), (('B', 'D'), '0'), (('C', 'D'), '1')],4,5
A'B+A'D', [([], '1'), ('D', '0'), (('A', 'B'), '0'), (('B', 'D'), '1')],4,5
A'C+A'D', [([], '1'), ('D', '0'), (('A', 'C'), '0'), (('C', 'D'), '1')],4,5
A+B+D', [([], '1'), ('D', '0'), (('A', 'D'), '1'), (('B', 'D'), '1')],3,5
A+C+D', [([], '1'), ('D', '0'), (('A', 'D'), '1'), (('C', 'D'), '1')],3,5
B'C+B'D', [([], '1'), ('D', '0'), (('B', 'C'), '0'), (('C', 'D'), '1')],4,5
B+C+D', [([], '1'), ('D', '0'), (('B', 'D'), '1'), (('C', 'D'), '1')],3,5
AB'C', [([], '0'), ('A', '1'), (('A', 'B'), '0'), (('A', 'C'), '0')],3,5
AB'D', [([], '0'), ('A', '1'), (('A', 'B'), '0'), (('A', 'D'), '0')],3,5
AC'D', [([], '0'), ('A', '1'), (('A', 'C'), '0'), (('A', 'D'), '0')],3,5
A'BC', [([], '0'), ('B', '1'), (('A', 'B'), '0'), (('B', 'C'), '0')],3,5
A'BD', [([], '0'), ('B', '1'), (('A', 'B'), '0'), (('B', 'D'), '0')],3,5
BC'D', [([], '0'), ('B', '1'), (('B', 'C'), '0'), (('B', 'D'), '0')],3,5
A'B'C, [([], '0'), ('C', '1'), (('A', 'C'), '0'), (('B', 'C'), '0')],3,5
A'CD', [([], '0'), ('C', '1'), (('A', 'C'), '0'), (('C', 'D'), '0')],3,5
B'CD', [([], '0'), ('C', '1'), (('B', 'C'), '0'), (('C', 'D'), '0')],3,5
A'B'D, [([], '0'), ('D', '1'), (('A', 'D'), '0'), (('B', 'D'), '0')],3,5
A'C'D, [([], '0'), ('D', '1'), (('A', 'D'), '0'), (('C', 'D'), '0')],3,5
B'C'D, [([], '0'), ('D', '1'), (('B', 'D'), '0'), (('C', 'D'), '0')],3,5
AB'+A'C'D', [([], '1'), ('A', '1'), ('B', '1'), ('C', '0'), ('D', '0'), (('A', 'B'), '0')],5,6
AC'+A'B'D', [([], '1'), ('A', '1'), ('B', '0'), ('C', '1'), ('D', '0'), (('A', 'C'), '0')],5,6
AD'+A'B'C', [([], '1'), ('A', '1'), ('B', '0'), ('C', '0'), ('D', '1'), (('A', 'D'), '0')],5,6
BC'+A'B'D', [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), ('D', '0'), (('B', 'C'), '0')],5,6
BD'+A'B'C', [([], '1'), ('A', '0'), ('B', '1'), ('C', '0'), ('D', '1'), (('B', 'D'), '0')],5,6
CD'+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],5,6
A+B+CD, [([], '0'), ('A', '1'), ('B', '1'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],4,6
A+C+BD, [([], '0'), ('A', '1'), ('B', '0'), ('C', '1'), ('D', '0'), (('B', 'D'), '1')],4,6
A+D+BC, [([], '0'), ('A', '1'), ('B', '0'), ('C', '0'), ('D', '1'), (('B', 'C'), '1')],4,6
B+C+AD, [([], '0'), ('A', '0'), ('B', '1'), ('C', '1'), ('D', '0'), (('A', 'D'), '1')],4,6
B+D+AC, [([], '0'), ('A', '0'), ('B', '1'), ('C', '0'), ('D', '1'), (('A', 'C'), '1')],4,6
C+D+AB, [([], '0'), ('A', '0'), ('B', '0'), ('C', '1'), ('D', '1'), (('A', 'B'), '1')],4,6
B+AC'+A'D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('A', 'C', 'D'), '0')],5,6
A+BC'+B'D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('B', 'C', 'D'), '0')],5,6
D+AB'+A'C, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'B', 'C'), '0')],5,6
C+AB'+A'D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'B', 'D'), '0')],5,6
A+B'C+B'D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('B', 'C', 'D'), '0')],5,6
D+A'B+A'C, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('A', 'B', 'C'), '0')],5,6
C+A'B+A'D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('A', 'B', 'D'), '0')],5,6
B+A'C+A'D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('A', 'C', 'D'), '0')],5,6
A'+B'C', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0'), (('A', 'C'), '0')],3,6
A'+B'D', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0'), (('A', 'D'), '0')],3,6
B'+A'C', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0'), (('B', 'C'), '0')],3,6
B'+A'D', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0'), (('B', 'D'), '0')],3,6
AB+B'C', [([], '1'), ('A', '1'), ('B', '0'), (('A', 'B'), '1'), (('A', 'C'), '0')],4,6
