T, [([], '1'), ('A', '1')],0,1
A', [([], '1'), ('A', '0')],1,1
B', [([], '1'), ('B', '0')],1,1
C', [([], '1'), ('C', '0')],1,1
D', [([], '1'), ('D', '0')],1,1
E', [([], '1'), ('E', '0')],1,1
A, [([], '0'), ('A', '1')],1,1
F, [([], '0'), ('A', '0')],0,1
B, [([], '0'), ('B', '1')],1,1
C, [([], '0'), ('C', '1')],1,1
D, [([], '0'), ('D', '1')],1,1
E, [([], '0'), ('E', '1')],1,1
A'B', [([], '1'), ('A', '0'), ('B', '0')],2,2
A'C', [([], '1'), ('A', '0'), ('C', '0')],2,2
A'D', [([], '1'), ('A', '0'), ('D', '0')],2,2
A'E', [([], '1'), ('A', '0'), ('E', '0')],2,2
B'C', [([], '1'), ('B', '0'), ('C', '0')],2,2
B'D', [([], '1'), ('B', '0'), ('D', '0')],2,2
B'E', [([], '1'), ('B', '0'), ('E', '0')],2,2
C'D', [([], '1'), ('C', '0'), ('D', '0')],2,2
C'E', [([], '1'), ('C', '0'), ('E', '0')],2,2
D'E', [([], '1'), ('D', '0'), ('E', '0')],2,2
A+B, [([], '0'), ('A', '1'), ('B', '1')],2,2
A+C, [([], '0'), ('A', '1'), ('C', '1')],2,2
A+D, [([], '0'), ('A', '1'), ('D', '1')],2,2
A+E, [([], '0'), ('A', '1'), ('E', '1')],2,2
B+C, [([], '0'), ('B', '1'), ('C', '1')],2,2
B+D, [([], '0'), ('B', '1'), ('D', '1')],2,2
B+E, [([], '0'), ('B', '1'), ('E', '1')],2,2
C+D, [([], '0'), ('C', '1'), ('D', '1')],2,2
C+E, [([], '0'), ('C', '1'), ('E', '1')],2,2
D+E, [([], '0'), ('D', '1'), ('E', '1')],2,2
A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0')],3,3
A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0')],3,3
A'B'E', [([], '1'), ('A', '0'), ('B', '0'), ('E', '0')],3,3
A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0')],3,3
A'C'E', [([], '1'), ('A', '0'), ('C', '0'), ('E', '0')],3,3
A'D'E', [([], '1'), ('A', '0'), ('D', '0'), ('E', '0')],3,3
B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0')],3,3
B'C'E', [([], '1'), ('B', '0'), ('C', '0'), ('E', '0')],3,3
B'D'E', [([], '1'), ('B', '0'), ('D', '0'), ('E', '0')],3,3
C'D'E', [([], '1'), ('C', '0'), ('D', '0'), ('E', '0')],3,3
A+B+C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1')],3,3
A+B+D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1')],3,3
A+B+E, [([], '0'), ('A', '1'), ('B', '1'), ('E', '1')],3,3
A+C+D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1')],3,3
A+C+E, [([], '0'), ('A', '1'), ('C', '1'), ('E', '1')],3,3
A+D+E, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1')],3,3
B+C+D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1')],3,3
B+C+E, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1')],3,3
B+D+E, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1')],3,3
C+D+E, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1')],3,3
A'+B, [([], '1'), ('A', '0'), (('A', 'B'), '1')],2,3
A'+C, [([], '1'), ('A', '0'), (('A', 'C'), '1')],2,3
A'+D, [([], '1'), ('A', '0'), (('A', 'D'), '1')],2,3
A'+E, [([], '1'), ('A', '0'), (('A', 'E'), '1')],2,3
A+B', [([], '1'), ('B', '0'), (('A', 'B'), '1')],2,3
B'+C, [([], '1'), ('B', '0'), (('B', 'C'), '1')],2,3
B'+D, [([], '1'), ('B', '0'), (('B', 'D'), '1')],2,3
B'+E, [([], '1'), ('B', '0'), (('B', 'E'), '1')],2,3
A+C', [([], '1'), ('C', '0'), (('A', 'C'), '1')],2,3
B+C', [([], '1'), ('C', '0'), (('B', 'C'), '1')],2,3
C'+D, [([], '1'), ('C', '0'), (('C', 'D'), '1')],2,3
C'+E, [([], '1'), ('C', '0'), (('C', 'E'), '1')],2,3
A+D', [([], '1'), ('D', '0'), (('A', 'D'), '1')],2,3
B+D', [([], '1'), ('D', '0'), (('B', 'D'), '1')],2,3
C+D', [([], '1'), ('D', '0'), (('C', 'D'), '1')],2,3
D'+E, [([], '1'), ('D', '0'), (('D', 'E'), '1')],2,3
A+E', [([], '1'), ('E', '0'), (('A', 'E'), '1')],2,3
B+E', [([], '1'), ('E', '0'), (('B', 'E'), '1')],2,3
C+E', [([], '1'), ('E', '0'), (('C', 'E'), '1')],2,3
D+E', [([], '1'), ('E', '0'), (('D', 'E'), '1')],2,3
AB', [([], '0'), ('A', '1'), (('A', 'B'), '0')],2,3
AC', [([], '0'), ('A', '1'), (('A', 'C'), '0')],2,3
AD', [([], '0'), ('A', '1'), (('A', 'D'), '0')],2,3
AE', [([], '0'), ('A', '1'), (('A', 'E'), '0')],2,3
A'B, [([], '0'), ('B', '1'), (('A', 'B'), '0')],2,3
BC', [([], '0'), ('B', '1'), (('B', 'C'), '0')],2,3
BD', [([], '0'), ('B', '1'), (('B', 'D'), '0')],2,3
BE', [([], '0'), ('B', '1'), (('B', 'E'), '0')],2,3
A'C, [([], '0'), ('C', '1'), (('A', 'C'), '0')],2,3
B'C, [([], '0'), ('C', '1'), (('B', 'C'), '0')],2,3
CD', [([], '0'), ('C', '1'), (('C', 'D'), '0')],2,3
CE', [([], '0'), ('C', '1'), (('C', 'E'), '0')],2,3
A'D, [([], '0'), ('D', '1'), (('A', 'D'), '0')],2,3
B'D, [([], '0'), ('D', '1'), (('B', 'D'), '0')],2,3
C'D, [([], '0'), ('D', '1'), (('C', 'D'), '0')],2,3
DE', [([], '0'), ('D', '1'), (('D', 'E'), '0')],2,3
A'E, [([], '0'), ('E', '1'), (('A', 'E'), '0')],2,3
B'E, [([], '0'), ('E', '1'), (('B', 'E'), '0')],2,3
C'E, [([], '0'), ('E', '1'), (('C', 'E'), '0')],2,3
D'E, [([], '0'), ('E', '1'), (('D', 'E'), '0')],2,3
A'B'C'D', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('D', '0')],4,4
A'B'C'E', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('E', '0')],4,4
A'B'D'E', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), ('E', '0')],4,4
A'C'D'E', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), ('E', '0')],4,4
B'C'D'E', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), ('E', '0')],4,4
A+B+C+D, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('D', '1')],4,4
A+B+C+E, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('E', '1')],4,4
A+B+D+E, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), ('E', '1')],4,4
A+C+D+E, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), ('E', '1')],4,4
B+C+D+E, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), ('E', '1')],4,4
A'+B', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0')],2,4
AE, [([], '0'), ('A', '0'), ('E', '0'), (('A', 'E'), '1')],2,4
C+A'B, [([], '0'), ('B', '1'), ('C', '1'), (('A', 'B'), '0')],3,4
B+A'C, [([], '0'), ('B', '1'), ('C', '1'), (('A', 'C'), '0')],3,4
BC'+B'C, [([], '0'), ('B', '1'), ('C', '1'), (('B', 'C'), '0')],4,4
C+BD', [([], '0'), ('B', '1'), ('C', '1'), (('B', 'D'), '0')],3,4
C+BE', [([], '0'), ('B', '1'), ('C', '1'), (('B', 'E'), '0')],3,4
B+CD', [([], '0'), ('B', '1'), ('C', '1'), (('C', 'D'), '0')],3,4
B+CE', [([], '0'), ('B', '1'), ('C', '1'), (('C', 'E'), '0')],3,4
D+A'B, [([], '0'), ('B', '1'), ('D', '1'), (('A', 'B'), '0')],3,4
B+A'D, [([], '0'), ('B', '1'), ('D', '1'), (('A', 'D'), '0')],3,4
D+BC', [([], '0'), ('B', '1'), ('D', '1'), (('B', 'C'), '0')],3,4
BD'+B'D, [([], '0'), ('B', '1'), ('D', '1'), (('B', 'D'), '0')],4,4
D+BE', [([], '0'), ('B', '1'), ('D', '1'), (('B', 'E'), '0')],3,4
B+C'D, [([], '0'), ('B', '1'), ('D', '1'), (('C', 'D'), '0')],3,4
B+DE', [([], '0'), ('B', '1'), ('D', '1'), (('D', 'E'), '0')],3,4
E+A'B, [([], '0'), ('B', '1'), ('E', '1'), (('A', 'B'), '0')],3,4
B+A'E, [([], '0'), ('B', '1'), ('E', '1'), (('A', 'E'), '0')],3,4
E+BC', [([], '0'), ('B', '1'), ('E', '1'), (('B', 'C'), '0')],3,4
E+BD', [([], '0'), ('B', '1'), ('E', '1'), (('B', 'D'), '0')],3,4
BE'+B'E, [([], '0'), ('B', '1'), ('E', '1'), (('B', 'E'), '0')],4,4
B+C'E, [([], '0'), ('B', '1'), ('E', '1'), (('C', 'E'), '0')],3,4
B+D'E, [([], '0'), ('B', '1'), ('E', '1'), (('D', 'E'), '0')],3,4
BC, [([], '0'), ('B', '0'), ('C', '0'), (('B', 'C'), '1')],2,4
BD, [([], '0'), ('B', '0'), ('D', '0'), (('B', 'D'), '1')],2,4
BE, [([], '0'), ('B', '0'), ('E', '0'), (('B', 'E'), '1')],2,4
D+A'C, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'C'), '0')],3,4
C+A'D, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'D'), '0')],3,4
D+B'C, [([], '0'), ('C', '1'), ('D', '1'), (('B', 'C'), '0')],3,4
C+B'D, [([], '0'), ('C', '1'), ('D', '1'), (('B', 'D'), '0')],3,4
CD'+C'D, [([], '0'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],4,4
D+CE', [([], '0'), ('C', '1'), ('D', '1'), (('C', 'E'), '0')],3,4
C+DE', [([], '0'), ('C', '1'), ('D', '1'), (('D', 'E'), '0')],3,4
E+A'C, [([], '0'), ('C', '1'), ('E', '1'), (('A', 'C'), '0')],3,4
C+A'E, [([], '0'), ('C', '1'), ('E', '1'), (('A', 'E'), '0')],3,4
E+B'C, [([], '0'), ('C', '1'), ('E', '1'), (('B', 'C'), '0')],3,4
C+B'E, [([], '0'), ('C', '1'), ('E', '1'), (('B', 'E'), '0')],3,4
E+CD', [([], '0'), ('C', '1'), ('E', '1'), (('C', 'D'), '0')],3,4
CE'+C'E, [([], '0'), ('C', '1'), ('E', '1'), (('C', 'E'), '0')],4,4
C+D'E, [([], '0'), ('C', '1'), ('E', '1'), (('D', 'E'), '0')],3,4
CD, [([], '0'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],2,4
CE, [([], '0'), ('C', '0'), ('E', '0'), (('C', 'E'), '1')],2,4
E+A'D, [([], '0'), ('D', '1'), ('E', '1'), (('A', 'D'), '0')],3,4
D+A'E, [([], '0'), ('D', '1'), ('E', '1'), (('A', 'E'), '0')],3,4
E+B'D, [([], '0'), ('D', '1'), ('E', '1'), (('B', 'D'), '0')],3,4
D+B'E, [([], '0'), ('D', '1'), ('E', '1'), (('B', 'E'), '0')],3,4
E+C'D, [([], '0'), ('D', '1'), ('E', '1'), (('C', 'D'), '0')],3,4
D+C'E, [([], '0'), ('D', '1'), ('E', '1'), (('C', 'E'), '0')],3,4
DE'+D'E, [([], '0'), ('D', '1'), ('E', '1'), (('D', 'E'), '0')],4,4
DE, [([], '0'), ('D', '0'), ('E', '0'), (('D', 'E'), '1')],2,4
A'B'C'D'E', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('D', '0'), ('E', '0')],5,5
A+B+C+D+E, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('D', '1'), ('E', '1')],5,5
AB'+A'C', [([], '1'), ('A', '1'), ('B', '1'), ('C', '0'), (('A', 'B'), '0')],4,5
AB'+A'D', [([], '1'), ('A', '1'), ('B', '1'), ('D', '0'), (('A', 'B'), '0')],4,5
AB'+A'E', [([], '1'), ('A', '1'), ('B', '1'), ('E', '0'), (('A', 'B'), '0')],4,5
A'B'+AC', [([], '1'), ('A', '1'), ('B', '0'), ('C', '1'), (('A', 'C'), '0')],4,5
A'B'+AD', [([], '1'), ('A', '1'), ('B', '0'), ('D', '1'), (('A', 'D'), '0')],4,5
A'B'+AE', [([], '1'), ('A', '1'), ('B', '0'), ('E', '1'), (('A', 'E'), '0')],4,5
AC'+A'D', [([], '1'), ('A', '1'), ('C', '1'), ('D', '0'), (('A', 'C'), '0')],4,5
AC'+A'E', [([], '1'), ('A', '1'), ('C', '1'), ('E', '0'), (('A', 'C'), '0')],4,5
A'C'+AD', [([], '1'), ('A', '1'), ('C', '0'), ('D', '1'), (('A', 'D'), '0')],4,5
A'C'+AE', [([], '1'), ('A', '1'), ('C', '0'), ('E', '1'), (('A', 'E'), '0')],4,5
AD'+A'E', [([], '1'), ('A', '1'), ('D', '1'), ('E', '0'), (('A', 'D'), '0')],4,5
A'D'+AE', [([], '1'), ('A', '1'), ('D', '0'), ('E', '1'), (('A', 'E'), '0')],4,5
A'B'+A'C', [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), (('B', 'C'), '0')],4,5
A'B'+A'D', [([], '1'), ('A', '0'), ('B', '1'), ('D', '1'), (('B', 'D'), '0')],4,5
A'B'+A'E', [([], '1'), ('A', '0'), ('B', '1'), ('E', '1'), (('B', 'E'), '0')],4,5
AB+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), (('A', 'B'), '1')],5,5
AC+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), (('A', 'C'), '1')],5,5
D+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), (('A', 'D'), '1')],4,5
E+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), (('A', 'E'), '1')],4,5
BC+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), (('B', 'C'), '1')],5,5
AB+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), (('A', 'B'), '1')],5,5
C+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), (('A', 'C'), '1')],4,5
AD+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), (('A', 'D'), '1')],5,5
E+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), (('A', 'E'), '1')],4,5
BD+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), (('B', 'D'), '1')],5,5
AB+A'B'E', [([], '1'), ('A', '0'), ('B', '0'), ('E', '0'), (('A', 'B'), '1')],5,5
C+A'B'E', [([], '1'), ('A', '0'), ('B', '0'), ('E', '0'), (('A', 'C'), '1')],4,5
D+A'B'E', [([], '1'), ('A', '0'), ('B', '0'), ('E', '0'), (('A', 'D'), '1')],4,5
AE+A'B'E', [([], '1'), ('A', '0'), ('B', '0'), ('E', '0'), (('A', 'E'), '1')],5,5
BE+A'B'E', [([], '1'), ('A', '0'), ('B', '0'), ('E', '0'), (('B', 'E'), '1')],5,5
A'C'+A'D', [([], '1'), ('A', '0'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],4,5
A'C'+A'E', [([], '1'), ('A', '0'), ('C', '1'), ('E', '1'), (('C', 'E'), '0')],4,5
B+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('A', 'B'), '1')],4,5
AC+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('A', 'C'), '1')],5,5
AD+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('A', 'D'), '1')],5,5
E+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('A', 'E'), '1')],4,5
CD+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],5,5
B+A'C'E', [([], '1'), ('A', '0'), ('C', '0'), ('E', '0'), (('A', 'B'), '1')],4,5
AC+A'C'E', [([], '1'), ('A', '0'), ('C', '0'), ('E', '0'), (('A', 'C'), '1')],5,5
D+A'C'E', [([], '1'), ('A', '0'), ('C', '0'), ('E', '0'), (('A', 'D'), '1')],4,5
AE+A'C'E', [([], '1'), ('A', '0'), ('C', '0'), ('E', '0'), (('A', 'E'), '1')],5,5
CE+A'C'E', [([], '1'), ('A', '0'), ('C', '0'), ('E', '0'), (('C', 'E'), '1')],5,5
A'D'+A'E', [([], '1'), ('A', '0'), ('D', '1'), ('E', '1'), (('D', 'E'), '0')],4,5
B+A'D'E', [([], '1'), ('A', '0'), ('D', '0'), ('E', '0'), (('A', 'B'), '1')],4,5
C+A'D'E', [([], '1'), ('A', '0'), ('D', '0'), ('E', '0'), (('A', 'C'), '1')],4,5
AD+A'D'E', [([], '1'), ('A', '0'), ('D', '0'), ('E', '0'), (('A', 'D'), '1')],5,5
AE+A'D'E', [([], '1'), ('A', '0'), ('D', '0'), ('E', '0'), (('A', 'E'), '1')],5,5
DE+A'D'E', [([], '1'), ('A', '0'), ('D', '0'), ('E', '0'), (('D', 'E'), '1')],5,5
BC'+B'D', [([], '1'), ('B', '1'), ('C', '1'), ('D', '0'), (('B', 'C'), '0')],4,5
BC'+B'E', [([], '1'), ('B', '1'), ('C', '1'), ('E', '0'), (('B', 'C'), '0')],4,5
B'C'+BD', [([], '1'), ('B', '1'), ('C', '0'), ('D', '1'), (('B', 'D'), '0')],4,5
B'C'+BE', [([], '1'), ('B', '1'), ('C', '0'), ('E', '1'), (('B', 'E'), '0')],4,5
BD'+B'E', [([], '1'), ('B', '1'), ('D', '1'), ('E', '0'), (('B', 'D'), '0')],4,5
B'D'+BE', [([], '1'), ('B', '1'), ('D', '0'), ('E', '1'), (('B', 'E'), '0')],4,5
B'C'+B'D', [([], '1'), ('B', '0'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],4,5
B'C'+B'E', [([], '1'), ('B', '0'), ('C', '1'), ('E', '1'), (('C', 'E'), '0')],4,5
A+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('A', 'B'), '1')],4,5
BC+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('B', 'C'), '1')],5,5
BD+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('B', 'D'), '1')],5,5
E+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('B', 'E'), '1')],4,5
CD+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],5,5
A+B'C'E', [([], '1'), ('B', '0'), ('C', '0'), ('E', '0'), (('A', 'B'), '1')],4,5
BC+B'C'E', [([], '1'), ('B', '0'), ('C', '0'), ('E', '0'), (('B', 'C'), '1')],5,5
D+B'C'E', [([], '1'), ('B', '0'), ('C', '0'), ('E', '0'), (('B', 'D'), '1')],4,5
BE+B'C'E', [([], '1'), ('B', '0'), ('C', '0'), ('E', '0'), (('B', 'E'), '1')],5,5
CE+B'C'E', [([], '1'), ('B', '0'), ('C', '0'), ('E', '0'), (('C', 'E'), '1')],5,5
B'D'+B'E', [([], '1'), ('B', '0'), ('D', '1'), ('E', '1'), (('D', 'E'), '0')],4,5
A+B'D'E', [([], '1'), ('B', '0'), ('D', '0'), ('E', '0'), (('A', 'B'), '1')],4,5
C+B'D'E', [([], '1'), ('B', '0'), ('D', '0'), ('E', '0'), (('B', 'C'), '1')],4,5
BD+B'D'E', [([], '1'), ('B', '0'), ('D', '0'), ('E', '0'), (('B', 'D'), '1')],5,5
BE+B'D'E', [([], '1'), ('B', '0'), ('D', '0'), ('E', '0'), (('B', 'E'), '1')],5,5
DE+B'D'E', [([], '1'), ('B', '0'), ('D', '0'), ('E', '0'), (('D', 'E'), '1')],5,5
CD'+C'E', [([], '1'), ('C', '1'), ('D', '1'), ('E', '0'), (('C', 'D'), '0')],4,5
C'D'+CE', [([], '1'), ('C', '1'), ('D', '0'), ('E', '1'), (('C', 'E'), '0')],4,5
C'D'+C'E', [([], '1'), ('C', '0'), ('D', '1'), ('E', '1'), (('D', 'E'), '0')],4,5
A+C'D'E', [([], '1'), ('C', '0'), ('D', '0'), ('E', '0'), (('A', 'C'), '1')],4,5
B+C'D'E', [([], '1'), ('C', '0'), ('D', '0'), ('E', '0'), (('B', 'C'), '1')],4,5
CD+C'D'E', [([], '1'), ('C', '0'), ('D', '0'), ('E', '0'), (('C', 'D'), '1')],5,5
CE+C'D'E', [([], '1'), ('C', '0'), ('D', '0'), ('E', '0'), (('C', 'E'), '1')],5,5
DE+C'D'E', [([], '1'), ('C', '0'), ('D', '0'), ('E', '0'), (('D', 'E'), '1')],5,5
C+AB'+A'B, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('A', 'B'), '0')],5,5
B+AC'+A'C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('A', 'C'), '0')],5,5
B+C+AD', [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('A', 'D'), '0')],4,5
B+C+AE', [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('A', 'E'), '0')],4,5
A+BC'+B'C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('B', 'C'), '0')],5,5
A+C+BD', [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('B', 'D'), '0')],4,5
A+C+BE', [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('B', 'E'), '0')],4,5
A+B+CD', [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('C', 'D'), '0')],4,5
A+B+CE', [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), (('C', 'E'), '0')],4,5
D+AB'+A'B, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('A', 'B'), '0')],5,5
B+D+AC', [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('A', 'C'), '0')],4,5
B+AD'+A'D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('A', 'D'), '0')],5,5
B+D+AE', [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('A', 'E'), '0')],4,5
A+D+BC', [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('B', 'C'), '0')],4,5
A+BD'+B'D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('B', 'D'), '0')],5,5
A+D+BE', [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('B', 'E'), '0')],4,5
A+B+C'D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('C', 'D'), '0')],4,5
A+B+DE', [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), (('D', 'E'), '0')],4,5
E+AB'+A'B, [([], '0'), ('A', '1'), ('B', '1'), ('E', '1'), (('A', 'B'), '0')],5,5
B+E+AC', [([], '0'), ('A', '1'), ('B', '1'), ('E', '1'), (('A', 'C'), '0')],4,5
B+E+AD', [([], '0'), ('A', '1'), ('B', '1'), ('E', '1'), (('A', 'D'), '0')],4,5
B+AE'+A'E, [([], '0'), ('A', '1'), ('B', '1'), ('E', '1'), (('A', 'E'), '0')],5,5
A+E+BC', [([], '0'), ('A', '1'), ('B', '1'), ('E', '1'), (('B', 'C'), '0')],4,5
A+E+BD', [([], '0'), ('A', '1'), ('B', '1'), ('E', '1'), (('B', 'D'), '0')],4,5
A+BE'+B'E, [([], '0'), ('A', '1'), ('B', '1'), ('E', '1'), (('B', 'E'), '0')],5,5
A+B+C'E, [([], '0'), ('A', '1'), ('B', '1'), ('E', '1'), (('C', 'E'), '0')],4,5
A+B+D'E, [([], '0'), ('A', '1'), ('B', '1'), ('E', '1'), (('D', 'E'), '0')],4,5
A+BC, [([], '0'), ('A', '1'), ('B', '0'), ('C', '0'), (('B', 'C'), '1')],3,5
A+BD, [([], '0'), ('A', '1'), ('B', '0'), ('D', '0'), (('B', 'D'), '1')],3,5
A+BE, [([], '0'), ('A', '1'), ('B', '0'), ('E', '0'), (('B', 'E'), '1')],3,5
C+D+AB', [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'B'), '0')],4,5
D+AC'+A'C, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'C'), '0')],5,5
C+AD'+A'D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'D'), '0')],5,5
C+D+AE', [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'E'), '0')],4,5
A+D+B'C, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('B', 'C'), '0')],4,5
A+C+B'D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('B', 'D'), '0')],4,5
A+CD'+C'D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],5,5
A+D+CE', [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('C', 'E'), '0')],4,5
A+C+DE', [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), (('D', 'E'), '0')],4,5
C+E+AB', [([], '0'), ('A', '1'), ('C', '1'), ('E', '1'), (('A', 'B'), '0')],4,5
E+AC'+A'C, [([], '0'), ('A', '1'), ('C', '1'), ('E', '1'), (('A', 'C'), '0')],5,5
C+E+AD', [([], '0'), ('A', '1'), ('C', '1'), ('E', '1'), (('A', 'D'), '0')],4,5
C+AE'+A'E, [([], '0'), ('A', '1'), ('C', '1'), ('E', '1'), (('A', 'E'), '0')],5,5
A+E+B'C, [([], '0'), ('A', '1'), ('C', '1'), ('E', '1'), (('B', 'C'), '0')],4,5
A+C+B'E, [([], '0'), ('A', '1'), ('C', '1'), ('E', '1'), (('B', 'E'), '0')],4,5
A+E+CD', [([], '0'), ('A', '1'), ('C', '1'), ('E', '1'), (('C', 'D'), '0')],4,5
A+CE'+C'E, [([], '0'), ('A', '1'), ('C', '1'), ('E', '1'), (('C', 'E'), '0')],5,5
A+C+D'E, [([], '0'), ('A', '1'), ('C', '1'), ('E', '1'), (('D', 'E'), '0')],4,5
A+CD, [([], '0'), ('A', '1'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],3,5
A+CE, [([], '0'), ('A', '1'), ('C', '0'), ('E', '0'), (('C', 'E'), '1')],3,5
D+E+AB', [([], '0'), ('A', '1'), ('D', '1'), ('E', '1'), (('A', 'B'), '0')],4,5
D+E+AC', [([], '0'), ('A', '1'), ('D', '1'), ('E', '1'), (('A', 'C'), '0')],4,5
E+AD'+A'D, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1'), (('A', 'D'), '0')],5,5
D+AE'+A'E, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1'), (('A', 'E'), '0')],5,5
A+E+B'D, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1'), (('B', 'D'), '0')],4,5
A+D+B'E, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1'), (('B', 'E'), '0')],4,5
A+E+C'D, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1'), (('C', 'D'), '0')],4,5
A+D+C'E, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1'), (('C', 'E'), '0')],4,5
A+DE'+D'E, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1'), (('D', 'E'), '0')],5,5
A+DE, [([], '0'), ('A', '1'), ('D', '0'), ('E', '0'), (('D', 'E'), '1')],3,5
B+AC, [([], '0'), ('A', '0'), ('B', '1'), ('C', '0'), (('A', 'C'), '1')],3,5
